CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
06.981.180/0001-16;2013-01-01;4;26648;CEMIG DISTRIBUIÇÃO S/A;Debêntures;;;;;Balcão Organizado;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-12-27;;;2007-12-27;
06.981.180/0001-16;2013-01-01;4;26648;CEMIG DISTRIBUIÇÃO S/A;Nota Comercial;;;;;Balcão Organizado;CETIP;CETIP;2012-07-02;;;2012-07-02;
07.047.251/0001-70;2013-01-01;3;31299;CIA ENERG CEARA - COELCE;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1995-10-09;;Nível 2 de Governança Corporativa;1995-07-13;
07.047.251/0001-70;2013-01-01;3;31299;CIA ENERG CEARA - COELCE;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2004-10-08;;;2004-10-08;
07.119.838/0001-48;2013-01-01;3;31338;BRAZIL REALTY CIA SECURITIZADORA DE CREDITOS IMOLIARIOS;Certificados de Recebíveis Imobiliários;;;;;Balcão Não-Organizado;;;;;;2011-06-14;
07.206.816/0001-15;2013-01-01;2;28189;M DIAS BRANCO SA IND E COM DE ALIMENTOS;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2006-10-18;;Nível 1 de Governança Corporativa;2006-10-18;
07.206.816/0001-15;2013-01-01;2;28189;M DIAS BRANCO SA IND E COM DE ALIMENTOS;Debêntures;;;;;Balcão Organizado;CETIP;CETIP;2012-02-17;;;2012-02-17;
07.332.190/0001-93;2013-01-01;2;27924;VICUNHA TEXTIL SA;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;1971-12-27;;Nível 2 de Governança Corporativa;1971-12-27;
07.450.604/0001-89;2013-01-01;2;28126;BANCO INDUSTRIAL E COMERCIAL S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-09-24;;Bovespa Mais;2007-09-24;
07.620.094/0001-40;2013-01-01;3;27976;AFLUENTE G&T DE ENERGIA ELÉTRICA S/A;Ações Ordinárias;;;;;Bolsa;BM&FBOVESPA;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;2007-12-10;;Nível 2 de Governança Corporativa;2006-07-12;
