date,ABEV3,BBAS3,BBDC4,CMIG4,EGIE3,ITUB4,PETR4,TAEE11,VALE3,WEGE3,IBOV
2022-05-25,14.040000,18.785000,16.816700,9.261500,32.264300,22.683100,32.050000,41.560000,84.300000,25.310000,110580.000000
2022-05-26,14.210000,18.730000,16.908300,9.023100,31.507100,22.965600,32.130000,40.410000,84.250000,25.710000,111890.000000
2022-05-27,14.210000,18.525000,17.150000,8.876900,31.214300,23.089100,30.600000,40.010000,85.720000,26.220000,111942.000000
2022-05-30,14.090000,18.035000,16.983300,8.630800,30.871400,22.877300,29.990000,40.030000,86.650000,25.540000,111032.000000
2022-05-31,14.190000,18.310000,17.083300,8.961500,31.357100,23.089100,30.060000,40.380000,86.210000,25.370000,111351.000000
2022-06-01,14.120000,18.345000,16.775000,8.769200,30.185700,22.753800,30.020000,40.190000,88.240000,26.210000,111360.000000
2022-06-02,14.120000,18.360000,16.691700,8.915400,30.264300,22.850800,29.760000,40.770000,89.900000,26.330000,112393.000000
2022-06-03,14.080000,18.105000,16.591700,8.807700,30.200000,22.639000,30.280000,41.270000,88.460000,25.920000,111102.000000
2022-06-06,14.050000,17.880000,16.608300,8.723100,29.964300,22.559600,30.300000,40.930000,88.550000,25.980000,110186.000000
2022-06-07,13.730000,17.755000,16.466700,8.623100,29.642900,22.559600,30.660000,40.400000,90.620000,25.950000,110070.000000
2022-06-08,13.760000,17.595000,16.175000,8.576900,29.892900,22.127100,30.510000,40.480000,87.500000,24.410000,108368.000000
2022-06-09,13.610000,17.570000,16.166700,8.515400,29.871400,21.747600,30.070000,40.520000,84.540000,24.520000,107094.000000
2022-06-10,13.590000,17.275000,15.925000,8.400000,29.228600,21.271000,29.650000,40.340000,84.560000,24.000000,105481.000000
2022-06-13,13.330000,16.880000,15.691700,8.276900,29.214300,21.015000,29.270000,40.460000,81.880000,23.820000,102598.000000
2022-06-14,13.150000,16.760000,15.533300,8.338500,29.500000,20.873800,29.600000,40.390000,81.720000,24.250000,102063.000000
2022-06-15,13.060000,17.025000,15.641700,8.400000,30.000000,20.962000,29.080000,40.400000,81.670000,24.000000,102807.000000
2022-06-17,13.030000,17.065000,15.400000,8.261500,30.000000,20.697300,27.310000,40.020000,77.410000,22.830000,99825.000000
2022-06-20,13.050000,17.195000,15.808300,8.276900,29.964300,21.597500,27.620000,40.190000,75.500000,24.100000,99853.000000
2022-06-21,13.170000,16.490000,15.533300,8.192300,29.814300,21.368100,27.070000,39.800000,76.000000,25.300000,99685.000000
2022-06-22,13.300000,16.430000,15.466700,8.215400,29.650000,21.209200,26.990000,39.690000,75.350000,25.790000,99522.000000
2022-06-23,13.330000,16.325000,15.058300,8.176900,29.371400,20.723700,26.490000,39.220000,72.600000,25.910000,98080.000000
2022-06-24,13.670000,16.230000,14.933300,8.169200,29.292900,20.688400,26.290000,39.000000,74.620000,26.460000,98672.000000
2022-06-27,13.720000,16.565000,15.141700,8.192300,29.428600,20.812000,27.980000,39.090000,78.050000,25.930000,100764.000000
2022-06-28,13.520000,16.625000,14.925000,8.161500,29.635700,20.582500,28.330000,39.330000,79.450000,26.150000,100591.000000
2022-06-29,13.610000,16.540000,14.666700,7.992300,29.735700,20.370700,28.080000,38.580000,78.790000,26.030000,99622.000000
2022-06-30,13.400000,16.690000,14.333300,7.984600,29.500000,20.008800,27.930000,38.620000,76.560000,26.450000,98542.000000
2022-07-01,13.760000,16.575000,14.441700,8.061500,29.685700,20.167700,28.530000,39.280000,75.100000,26.500000,98954.000000
