date,ABEV3,BBAS3,BBDC4,CMIG4,EGIE3,ITUB4,PETR4,TAEE11,VALE3,WEGE3
2023-03-01,0.82996221,1.70542147,0.66173790,0.90450389,1.12534282,1.04186153,1.76404632,1.12557349,1.10917210,1.11030288
2023-03-02,0.80901291,1.63676732,0.65204740,0.89669868,1.12820587,1.00769045,1.71802772,1.12304624,1.10668517,1.10410007
2023-03-03,0.80778059,1.71992641,0.65562016,0.89063922,1.12448471,1.00894170,1.79193638,1.12588940,1.11041556,1.09507780
2023-03-06,0.83181068,1.75900532,0.67754003,0.90450389,1.13336257,1.03186093,1.81006492,1.13347115,1.07124637,1.11171260
2023-03-07,0.82749759,1.79944744,0.69334216,0.91229784,1.15856863,1.03477895,1.75010129,1.13568249,1.06104995,1.11622374
2023-03-08,0.83920455,1.81762368,0.74500421,0.93048749,1.15713310,1.04769757,1.77241334,1.14168470,1.07074898,1.13229465
2023-03-09,0.83797224,1.77809037,0.74235152,0.90709437,1.18291257,1.02769165,1.76474357,1.13410296,1.05669781,1.12383628
2023-03-10,0.83242684,1.74446433,0.72109174,0.91056335,1.17231448,1.02257847,1.74173427,1.13663021,1.05321611,1.11481401
2023-03-13,0.83858840,1.73355859,0.71312091,0.91489958,1.18004952,1.01025622,1.68665140,1.14831873,1.05756824,1.12186266
2023-03-14,0.85953770,1.70447661,0.70887406,0.93135473,1.19121702,1.00685798,1.65666959,1.15621639,1.04426315,1.13511411
2023-03-15,0.86385079,1.70629423,0.71896831,0.94608665,1.20496687,1.00431170,1.62738502,1.17675028,1.01280345,1.13849757
2023-03-16,0.87863854,1.72447047,0.73916319,0.93915995,1.17174107,1.02087935,1.62180701,1.12936437,1.01653385,1.14503249
2023-03-17,0.87617392,1.69493408,0.70833842,0.91143060,1.14567689,0.99156587,1.63923830,1.12083490,1.02871982,1.13281503
2023-03-20,0.87001235,1.68539156,0.69612074,0.90796161,1.14424537,0.99411215,1.59879771,1.12304624,1.03717539,1.12798486
2023-03-21,0.85953770,1.70538542,0.69824417,0.90190215,1.13651433,1.01450644,1.63156853,1.10093282,1.02847112,1.13537217
2023-03-22,0.85953770,1.70947507,0.69186751,0.90450389,1.13364727,1.00855710,1.62668777,1.09587832,1.04147600,1.12287057
2023-03-23,0.84906305,1.69084443,0.66795504,0.91143060,1.12792117,0.98349383,1.58973344,1.08987610,1.01469956,1.13338328
2023-03-24,0.85584077,1.70811185,0.67539660,0.92095904,1.13995079,0.98646850,1.58903619,1.10567141,1.00309644,1.15099916
2023-03-27,0.85830539,1.70902067,0.68761428,0.94348492,1.13966208,1.00345973,1.61622900,1.10472369,1.00143885,1.17031981
